REPORT:
Overall Profit:;240474500.0
Name;Number sold;Percentage of profits
Apple iPhone 14;0;18.7%
Samsung Galaxy S22 Ultra;300;12.5%
Игровые приставки;200;5.0%
LG OLED TV;150;11.2%
Apple MacBook Pro 16;100;8.3%
Canon EOS R7;50;5.2%
Bose QuietComfort 55;100;1.5%
Samsung Galaxy Tab S8;75;2.2%
CORRUPTED;25;1.6%
Philips Hue Smart Bulbs;500;0.0%
Apple iPad Pro 12.9;200;7.5%
Sony PlayStation 5 Pro;100;2.5%
Samsung Galaxy Watch 5;150;1.9%
LG UltraFine;50;2.1%
Canon EOS R8;75;9.4%
Bose SoundLink Revolve+;100;1.0%
DJI Ronin 4D;25;5.2%
Samsung Galaxy Book Pro;50;2.7%
Philips Sonicare DiamondClean;200;0.8%
Nest Learning Thermostat;100;0.8%
